epoch,IoU,accuracy,loss,lr,val_IoU,val_accuracy,val_loss
0,0.949398934841156,0.9347807765007019,0.14050480723381042,0.001,0.5398629307746887,0.0768752470612526,70.66223907470703
1,0.9579086303710938,0.9469808340072632,0.11354544013738632,0.001,0.9614788889884949,0.9209571480751038,0.6240850687026978
2,0.9630440473556519,0.9548418521881104,0.09885270148515701,0.001,0.9585891962051392,0.9331759214401245,0.14582660794258118
3,0.968332827091217,0.9609426259994507,0.08592646569013596,0.001,0.9615753889083862,0.9209571480751038,0.7316368818283081
4,0.9735745787620544,0.9668633341789246,0.0719270408153534,0.001,0.9783576726913452,0.972265362739563,0.059937357902526855
5,0.9774850606918335,0.971402108669281,0.061246201395988464,0.001,0.9811052083969116,0.9751164317131042,0.05923302471637726
6,0.9797517657279968,0.9742425680160522,0.055704083293676376,0.001,0.9829835295677185,0.9779495596885681,0.05133046954870224
7,0.9828574657440186,0.9775670766830444,0.04733990132808685,0.001,0.9839673638343811,0.9791186451911926,0.04651130735874176
8,0.9848138689994812,0.97944176197052,0.041802141815423965,0.001,0.986203134059906,0.9809083342552185,0.04216969385743141
9,0.9854656457901001,0.9800283908843994,0.04037991538643837,0.001,0.9865737557411194,0.980401873588562,0.04423952102661133
10,0.9863139986991882,0.9810381531715393,0.038003988564014435,0.001,0.9689847230911255,0.9545170664787292,0.12990692257881165
11,0.985832929611206,0.9804673790931702,0.03976043686270714,0.001,0.9854201674461365,0.9800735116004944,0.04588020592927933
12,0.9889075756072998,0.9838588833808899,0.030620699748396873,0.001,0.984744131565094,0.978984534740448,0.05297674611210823
13,0.9895414113998413,0.9845256209373474,0.029110681265592575,0.001,0.9856653809547424,0.9789184927940369,0.046650923788547516
14,0.9890645742416382,0.9839450716972351,0.030361568555235863,0.001,0.9774113893508911,0.9579444527626038,0.10172083973884583
15,0.9902427792549133,0.9853402972221375,0.02725839428603649,0.001,0.9852168560028076,0.978240966796875,0.05284842103719711
16,0.9911612868309021,0.9863722324371338,0.024651603773236275,0.001,0.9851961135864258,0.9763638377189636,0.05993752181529999
